Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,med_household_income,total_pop,race_white,race_black,race_native,race_asian,race_pi,other_race,mixed_race,workers_over16,commute_car,drive_alone,commute_carpool,public_transport,commute_motorcyle,commute_bicycle,commute_walk,commute_other,commute_wfh,avg_commute_min,pop_density,area_land
06037101110,14000US06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",ca,140,00,ACSSF,0003870,06,037,101110,53077,4314,3314,47,4,329,4,499,117,1927,1763,1588,175,46,0,0,0,20,98,34,9780.452,0.441083897
06037101122,14000US06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",ca,140,00,ACSSF,0003871,06,037,101122,88953,3239,2837,61,13,206,0,61,61,1907,1776,1645,131,7,0,0,11,40,73,41,3172.779,1.020871525
06037101210,14000US06037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",ca,140,00,ACSSF,0003872,06,037,101210,32119,6052,4771,172,0,260,0,736,113,2770,2445,2235,210,95,0,0,91,33,106,28,24089.21,0.251232824
06037101220,14000US06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",ca,140,00,ACSSF,0003873,06,037,101220,41728,3497,2494,71,0,302,0,487,143,1513,1360,1235,125,55,0,0,0,23,75,30,12959.46,0.269841405
06037101300,14000US06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",ca,140,00,ACSSF,0003874,06,037,101300,86914,4297,3705,161,0,289,0,48,94,2041,1765,1631,134,86,0,0,0,0,190,36,4311.606,0.99661234
06037101400,14000US06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",ca,140,00,ACSSF,0003875,06,037,101400,71125,3851,3022,18,43,348,0,224,196,1791,1596,1358,238,58,7,0,31,8,91,35,1580.659,2.436326346
06037102103,14000US06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",ca,140,00,ACSSF,0003876,06,037,102103,76333,1771,1523,0,0,113,0,50,85,801,710,639,71,0,0,0,0,18,73,27,3865.934,0.458104053
06037102104,14000US06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",ca,140,00,ACSSF,0003877,06,037,102104,70754,3554,2720,117,3,443,8,206,57,1599,1273,1128,145,58,7,9,78,0,174,30,5549.938,0.640367446
06037102105,14000US06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",ca,140,00,ACSSF,0003878,06,037,102105,52132,1857,1179,41,13,117,12,415,80,1032,894,845,49,36,0,0,65,37,0,25,9760.528,0.190256094
06037102107,14000US06037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",ca,140,00,ACSSF,0003879,06,037,102107,106037,4333,3402,111,6,395,0,319,100,2044,1963,1713,250,0,0,0,0,14,67,31,869.3781,4.98402232
06037103101,14000US06037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",ca,140,00,ACSSF,0003880,06,037,103101,89211,2597,2201,13,12,171,0,85,115,1201,1142,989,153,0,0,0,0,21,38,36,3313.715,0.783712511
06037103102,14000US06037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",ca,140,00,ACSSF,0003881,06,037,103102,74631,4456,3240,0,7,753,0,345,111,2335,2214,1839,375,68,10,0,16,0,27,36,9299.53,0.479163996
06037103200,14000US06037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",ca,140,00,ACSSF,0003882,06,037,103200,71346,6726,5902,87,0,425,0,140,172,2876,2634,2267,367,0,0,0,96,0,146,34,2349.455,2.862792028
06037103300,14000US06037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",ca,140,00,ACSSF,0003883,06,037,103300,93207,3549,3018,42,9,309,0,52,119,1720,1510,1256,254,37,0,0,0,0,173,35,1496.57,2.371422184
06037103400,14000US06037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",ca,140,00,ACSSF,0003884,06,037,103400,81618,6662,5017,150,104,864,168,202,157,2946,2710,2447,263,54,0,0,0,0,182,29,6899.722,0.965546172
06037104103,14000US06037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",ca,140,00,ACSSF,0003885,06,037,104103,86989,3647,2325,502,20,265,8,476,51,1731,1576,1298,278,37,0,0,8,11,99,28,9952.162,0.366453049
06037104105,14000US06037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",ca,140,00,ACSSF,0003886,06,037,104105,52616,6190,3300,307,32,608,0,1694,249,2300,1810,1525,285,268,0,9,34,82,97,32,27419.33,0.22575317
06037104108,14000US06037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",ca,140,00,ACSSF,0003887,06,037,104108,50259,5420,3159,516,0,172,13,1502,58,2421,2170,1768,402,161,0,0,39,51,0,33,12800.81,0.423410842
06037104124,14000US06037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",ca,140,00,ACSSF,0003888,06,037,104124,84250,4189,2582,386,21,353,0,724,123,1766,1481,1248,233,168,11,27,51,0,28,37,2422.087,1.729499905
06037104201,14000US06037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",ca,140,00,ACSSF,0003889,06,037,104201,51563,4424,2564,423,35,0,0,1393,9,1817,1573,1376,197,122,0,0,77,18,27,33,10511.03,0.420891139
06037104203,14000US06037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",ca,140,00,ACSSF,0003890,06,037,104203,46406,5541,3068,451,38,52,0,1877,55,2352,1999,1523,476,129,0,21,92,90,21,33,20270.72,0.273349915
06037104204,14000US06037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",ca,140,00,ACSSF,0003891,06,037,104204,63333,3562,2230,165,12,207,0,799,149,1406,1226,1001,225,37,17,15,53,30,28,33,3462.374,1.028773878
06037104310,14000US06037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",ca,140,00,ACSSF,0003892,06,037,104310,69904,5313,2825,114,19,15,0,2213,127,2442,2170,1674,496,60,0,14,114,66,18,29,9121.302,0.582482622
06037104320,14000US06037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",ca,140,00,ACSSF,0003893,06,037,104320,52895,5599,3478,207,0,63,0,1595,256,2360,2065,1876,189,108,0,22,48,81,36,28,11963.14,0.468021087
06037104401,14000US06037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",ca,140,00,ACSSF,0003894,06,037,104401,69965,3452,1975,0,0,28,62,1365,22,1517,1266,1151,115,101,0,17,5,111,17,28,13126.44,0.262980755
06037104403,14000US06037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",ca,140,00,ACSSF,0003895,06,037,104403,55398,3279,1812,0,24,95,0,1320,28,1433,1187,1008,179,63,0,0,0,121,62,27,12253.32,0.267600854
06037104404,14000US06037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",ca,140,00,ACSSF,0003896,06,037,104404,55341,3128,1701,132,11,61,0,1206,17,1253,1102,948,154,60,0,0,27,34,30,27,15013.31,0.208348456
06037104500,14000US06037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",ca,140,00,ACSSF,0003897,06,037,104500,60139,2950,1367,0,10,5,0,1499,69,1460,1323,1182,141,53,0,0,20,33,31,24,14388.77,0.205021027
06037104610,14000US06037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",ca,140,00,ACSSF,0003898,06,037,104610,60320,3504,1760,0,12,0,0,1692,40,1558,1293,1018,275,137,0,0,54,53,21,29,15326.36,0.22862577
06037104620,14000US06037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",ca,140,00,ACSSF,0003899,06,037,104620,62014,3684,1994,26,15,16,0,1506,127,1673,1414,1180,234,98,0,14,40,100,7,25,17963.17,0.205086278
06037104701,14000US06037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",ca,140,00,ACSSF,0003900,06,037,104701,32036,4325,2662,168,0,0,0,1471,24,1528,1191,927,264,126,0,0,55,117,39,30,20348.08,0.212550792
06037104703,14000US06037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",ca,140,00,ACSSF,0003901,06,037,104703,39181,2311,1499,137,63,0,0,601,11,937,794,602,192,6,0,18,10,101,8,24,5121.882,0.451201318
06037104704,14000US06037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",ca,140,00,ACSSF,0003902,06,037,104704,48581,4331,2151,598,0,336,0,1207,39,1709,1533,1435,98,16,29,15,45,56,15,33,6746.562,0.641956642
06037104810,14000US06037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",ca,140,00,ACSSF,0003903,06,037,104810,74145,5789,3815,9,31,62,0,1826,46,2797,2489,2169,320,156,0,0,49,0,103,27,13346.95,0.433732125
06037104821,14000US06037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",ca,140,00,ACSSF,0003904,06,037,104821,68750,3361,1903,63,27,151,0,1212,5,1617,1406,1189,217,133,10,0,15,23,30,27,16368.78,0.205329909
06037104822,14000US06037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",ca,140,00,ACSSF,0003905,06,037,104822,55500,2748,1739,34,49,124,0,779,23,1239,1045,877,168,70,0,0,68,45,11,27,11776.72,0.233341622
06037106010,14000US06037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",ca,140,00,ACSSF,0003906,06,037,106010,71806,3108,2369,83,20,118,0,427,91,1443,1283,1008,275,16,17,0,7,12,108,29,3197.101,0.972130759
06037106020,14000US06037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",ca,140,00,ACSSF,0003907,06,037,106020,75038,5807,4809,66,9,44,0,675,204,2815,2587,2289,298,145,0,0,21,0,62,34,7479.774,0.776360354
06037106111,14000US06037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",ca,140,00,ACSSF,0003908,06,037,106111,93198,4482,2758,229,113,404,0,823,155,2341,2166,1928,238,58,0,0,0,0,117,35,3043.956,1.472426127
06037106112,14000US06037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",ca,140,00,ACSSF,0003909,06,037,106112,90875,5885,4157,91,266,437,16,665,253,2735,2573,2285,288,81,0,0,0,18,63,33,4729.523,1.244311557
06037106113,14000US06037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",ca,140,00,ACSSF,0003910,06,037,106113,85156,3962,2872,193,0,362,0,525,10,1763,1567,1358,209,35,0,0,31,51,79,33,7108.968,0.557324204
06037106114,14000US06037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",ca,140,00,ACSSF,0003911,06,037,106114,54363,6410,4729,290,71,259,0,1012,49,2542,2384,1913,471,31,16,0,29,19,63,30,16408.35,0.390654706
06037106403,14000US06037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",ca,140,00,ACSSF,0003912,06,037,106403,62015,3431,2797,17,35,13,0,505,64,1566,1474,1278,196,7,0,0,17,0,68,28,8037.17,0.426891553
06037106405,14000US06037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",ca,140,00,ACSSF,0003913,06,037,106405,57807,4813,3525,278,0,82,0,848,80,1801,1633,1400,233,54,0,0,15,21,78,29,10638.6,0.452409046
06037106406,14000US06037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",ca,140,00,ACSSF,0003914,06,037,106406,77454,5860,4330,170,255,310,0,560,235,2605,2378,1841,537,103,61,0,0,13,50,34,7275.979,0.805389832
06037106407,14000US06037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",ca,140,00,ACSSF,0003915,06,037,106407,37452,3272,2520,323,6,122,0,258,43,1210,957,837,120,173,0,0,32,5,43,43,36506.36,0.089628214
06037106408,14000US06037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",ca,140,00,ACSSF,0003916,06,037,106408,49464,3817,2830,71,0,137,0,705,74,1669,1558,1258,300,54,0,0,24,0,33,28,43156.86,0.088444811
06037106510,14000US06037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",ca,140,00,ACSSF,0003917,06,037,106510,91983,5347,3453,347,9,480,0,727,331,2545,2329,1986,343,149,9,9,8,0,41,37,2425.81,2.204212143
06037106520,14000US06037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",ca,140,00,ACSSF,0003918,06,037,106520,63594,5879,4919,25,0,85,0,670,180,2712,2526,2037,489,66,11,0,0,26,83,31,6902.699,0.851695838
06037106603,14000US06037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",ca,140,00,ACSSF,0003919,06,037,106603,114688,3222,2143,1,0,779,30,50,219,1556,1381,1244,137,26,0,0,0,26,123,33,545.326,5.908392626
06037106604,14000US06037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",ca,140,00,ACSSF,0003920,06,037,106604,58028,5143,4343,4,33,102,1,626,34,2103,1893,1516,377,138,13,9,5,0,45,28,5100.512,1.008330154
06037106641,14000US06037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",ca,140,00,ACSSF,0003921,06,037,106641,108333,2352,1684,28,0,465,0,13,162,1124,898,797,101,39,0,6,0,0,181,38,5364.764,0.438416317
06037106642,14000US06037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",ca,140,00,ACSSF,0003922,06,037,106642,106179,3016,1847,175,9,337,0,496,152,1374,1218,1191,27,15,0,0,22,0,119,38,4951.466,0.609112475
06037106643,14000US06037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",ca,140,00,ACSSF,0003923,06,037,106643,151875,4599,2965,89,83,972,0,234,256,2290,2075,1826,249,14,6,0,1,10,184,37,2745.222,1.675274557
06037106645,14000US06037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",ca,140,00,ACSSF,0003924,06,037,106645,110946,3491,2744,159,0,437,0,114,37,1554,1342,1202,140,6,0,0,0,0,206,37,3576.698,0.976040043
06037106646,14000US06037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",ca,140,00,ACSSF,0003925,06,037,106646,105750,3439,1935,172,0,590,16,590,136,1595,1466,1344,122,51,7,0,6,19,46,32,6033.661,0.56996905
06037106648,14000US06037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",ca,140,00,ACSSF,0003926,06,037,106648,65278,4569,3458,13,0,6,0,956,136,1976,1825,1506,319,133,0,0,7,6,5,27,14923.96,0.306151998
06037106649,14000US06037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",ca,140,00,ACSSF,0003927,06,037,106649,82841,2599,1548,86,0,536,7,297,125,1255,1154,939,215,66,5,13,9,0,8,31,6049.726,0.429606238
06037107010,14000US06037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",ca,140,00,ACSSF,0003928,06,037,107010,56375,3093,2135,14,9,17,0,861,57,1420,1322,1151,171,45,0,0,0,17,36,32,11700.27,0.264352962
06037107020,14000US06037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",ca,140,00,ACSSF,0003929,06,037,107020,81935,5442,3776,34,108,513,0,845,166,2535,2374,1929,445,71,0,22,9,15,44,39,14168.3,0.38409676
06037108101,14000US06037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",ca,140,00,ACSSF,0003930,06,037,108101,141893,2417,1586,102,0,495,0,180,54,1225,1136,1007,129,0,0,0,5,23,61,34,5546.534,0.435767656
06037108102,14000US06037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",ca,140,00,ACSSF,0003931,06,037,108102,95592,3677,1881,160,14,1349,0,180,93,1613,1443,1310,133,11,0,10,0,39,110,38,4360.892,0.843176107
06037108103,14000US06037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",ca,140,00,ACSSF,0003932,06,037,108103,159643,3153,1970,0,14,898,15,187,69,1615,1426,1322,104,22,0,0,0,48,119,35,3183.802,0.990325438
06037108104,14000US06037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",ca,140,00,ACSSF,0003933,06,037,108104,130714,1922,1123,94,0,592,0,60,53,832,801,735,66,4,0,0,0,6,21,43,6026.437,0.318928119
06037108201,14000US06037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",ca,140,00,ACSSF,0003934,06,037,108201,125000,5501,2188,325,0,2563,0,164,261,2639,2458,2168,290,32,0,0,24,0,125,38,5079.148,1.083055597
06037108202,14000US06037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",ca,140,00,ACSSF,0003935,06,037,108202,108304,7561,3228,517,145,3405,0,14,252,3564,3427,2947,480,0,0,0,0,15,122,40,3265.522,2.315403392
06037109100,14000US06037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",ca,140,00,ACSSF,0003936,06,037,109100,59792,2738,1634,9,6,335,0,691,63,1075,983,792,191,7,0,18,56,0,11,28,2620.708,1.044755806
06037109200,14000US06037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",ca,140,00,ACSSF,0003937,06,037,109200,112250,2995,1826,65,0,635,41,238,190,1628,1584,1386,198,0,0,0,0,0,44,34,6511.047,0.459987459
06037109300,14000US06037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",ca,140,00,ACSSF,0003938,06,037,109300,84919,3247,1785,25,111,517,0,684,125,1662,1469,1215,254,63,0,0,26,13,91,34,6820.031,0.476097573
06037109400,14000US06037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",ca,140,00,ACSSF,0003939,06,037,109400,77273,3959,1627,90,42,140,182,1664,214,1924,1639,1504,135,181,14,0,6,7,77,35,7943.518,0.498393815
06037109500,14000US06037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",ca,140,00,ACSSF,0003940,06,037,109500,44118,4821,2826,58,0,122,0,1779,36,1676,1526,1299,227,64,0,0,57,0,29,27,10452.47,0.461230708
06037109601,14000US06037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",ca,140,00,ACSSF,0003941,06,037,109601,92545,4938,2416,132,0,511,0,1769,110,2198,2055,1800,255,48,16,0,64,0,15,30,5774.989,0.85506651
06037109603,14000US06037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",ca,140,00,ACSSF,0003942,06,037,109603,53750,4476,2059,73,26,561,0,1653,104,1981,1791,1604,187,85,0,0,20,0,85,31,11605.7,0.385672443
06037109604,14000US06037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",ca,140,00,ACSSF,0003943,06,037,109604,88000,3088,1472,74,60,555,0,812,115,1681,1491,1354,137,39,0,5,66,0,80,27,6807.433,0.453621793
06037109700,14000US06037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",ca,140,00,ACSSF,0003944,06,037,109700,98605,4568,2103,796,0,456,0,1143,70,2269,2118,1961,157,27,0,0,35,0,89,28,7455.641,0.612690484
06037109800,14000US06037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",ca,140,00,ACSSF,0003945,06,037,109800,96422,5398,2480,210,23,850,0,1701,134,2771,2511,2351,160,156,0,12,20,0,72,29,9990.492,0.5403137
06037111100,14000US06037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",ca,140,00,ACSSF,0003946,06,037,111100,86683,3128,1702,78,5,472,0,779,92,1550,1391,1205,186,30,5,0,34,43,47,32,7648.355,0.408976798
06037111201,14000US06037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",ca,140,00,ACSSF,0003947,06,037,111201,85034,3485,2407,47,58,541,0,399,33,1704,1472,1311,161,91,0,0,13,42,86,33,4718.779,0.738538557
06037111202,14000US06037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",ca,140,00,ACSSF,0003948,06,037,111202,80521,5329,3061,298,16,1152,0,512,290,2533,2176,2054,122,23,0,13,22,0,299,30,7393.853,0.720733841
06037111204,14000US06037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",ca,140,00,ACSSF,0003949,06,037,111204,150192,6153,3846,274,51,1354,0,241,387,2862,2560,2386,174,18,0,2,0,30,252,34,4836.941,1.272085044
06037111205,14000US06037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",ca,140,00,ACSSF,0003950,06,037,111205,76968,4064,1875,442,0,1424,15,255,53,1960,1673,1527,146,71,0,0,17,25,174,34,9222.409,0.440665748
06037111206,14000US06037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",ca,140,00,ACSSF,0003951,06,037,111206,114861,4382,2742,54,12,557,119,389,509,2067,1801,1416,385,89,9,0,0,83,85,37,4346.408,1.008188841
06037111301,14000US06037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",ca,140,00,ACSSF,0003952,06,037,111301,68456,7151,3664,446,0,1531,0,941,569,3627,3252,2813,439,28,0,19,95,74,159,33,9254.265,0.772724816
06037111302,14000US06037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",ca,140,00,ACSSF,0003953,06,037,111302,66850,5325,3192,415,0,1166,4,463,85,2429,1992,1645,347,141,12,22,49,83,130,38,8881.823,0.599539071
06037111400,14000US06037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",ca,140,00,ACSSF,0003954,06,037,111400,59875,8066,4322,439,66,1355,22,1505,357,4291,3600,3114,486,212,0,0,112,228,139,31,11528.97,0.699628724
06037113101,14000US06037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",ca,140,00,ACSSF,0003955,06,037,113101,105781,3699,2810,70,0,592,0,202,25,1782,1512,1432,80,136,0,0,0,58,76,34,4229.253,0.874622585
06037113102,14000US06037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",ca,140,00,ACSSF,0003956,06,037,113102,138333,2928,2296,75,2,364,14,70,107,1375,1223,1135,88,33,0,0,8,52,59,34,2075.459,1.410772173
06037113211,14000US06037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",ca,140,00,ACSSF,0003957,06,037,113211,93009,3929,3204,53,13,598,0,59,2,2049,1602,1476,126,108,0,0,0,49,290,34,1397.663,2.81112036
06037113212,14000US06037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",ca,140,00,ACSSF,0003958,06,037,113212,79009,3272,2023,76,22,732,0,332,87,1789,1523,1379,144,17,9,30,50,0,160,34,8486.746,0.385542327
06037113213,14000US06037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",ca,140,00,ACSSF,0003959,06,037,113213,84274,5059,2286,241,61,1147,0,941,383,2607,2173,1963,210,163,7,14,38,118,94,34,10072.58,0.502254837
06037113231,14000US06037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",ca,140,00,ACSSF,0003960,06,037,113231,105208,2424,1566,318,0,283,0,63,194,1089,974,939,35,4,0,0,0,17,94,33,1523.44,1.59113633
06037113232,14000US06037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",ca,140,00,ACSSF,0003961,06,037,113232,112105,4358,3096,95,2,776,0,170,219,2150,1839,1758,81,55,0,0,19,10,227,33,5463.763,0.797618753
06037113233,14000US06037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",ca,140,00,ACSSF,0003962,06,037,113233,47500,7624,3158,493,57,945,0,2901,70,4479,3700,3125,575,458,0,82,24,0,215,28,17261.5,0.441676564
06037113234,14000US06037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",ca,140,00,ACSSF,0003963,06,037,113234,56375,4818,2243,246,36,842,0,1402,49,2216,1802,1554,248,186,0,0,74,64,90,33,12318.47,0.391119959
06037113235,14000US06037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",ca,140,00,ACSSF,0003964,06,037,113235,88750,1834,1140,102,39,86,0,229,238,947,801,667,134,0,5,0,22,34,85,36,3313.257,0.553533839
06037113237,14000US06037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",ca,140,00,ACSSF,0003965,06,037,113237,82821,4145,2563,380,29,497,0,440,236,1870,1485,1396,89,31,0,0,0,171,183,36,2266.685,1.828661754
06037113301,14000US06037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",ca,140,00,ACSSF,0003966,06,037,113301,66500,2960,2046,170,2,385,2,176,179,1292,1159,991,168,35,0,0,17,10,71,32,3398.776,0.870901718
06037113303,14000US06037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",ca,140,00,ACSSF,0003967,06,037,113303,83971,4307,2756,63,26,730,0,498,234,2094,1755,1478,277,69,0,15,7,70,178,29,2729.034,1.578214262
06037113321,14000US06037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",ca,140,00,ACSSF,0003968,06,037,113321,68904,6420,3418,668,0,948,88,921,377,3451,3030,2696,334,38,0,46,92,90,155,29,15860.64,0.404775621
06037113322,14000US06037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",ca,140,00,ACSSF,0003969,06,037,113322,93795,4284,2733,51,11,946,0,383,160,2264,1902,1761,141,45,0,0,27,78,212,33,6210.704,0.689776941
06037113401,14000US06037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",ca,140,00,ACSSF,0003970,06,037,113401,84923,6284,2614,145,21,1223,4,1842,435,3107,2767,2420,347,111,0,23,26,35,145,30,6638.132,0.946651876
06037113421,14000US06037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",ca,140,00,ACSSF,0003971,06,037,113421,61228,6810,2189,480,10,1003,40,2942,146,3524,2965,2684,281,297,18,13,49,34,148,29,8028.85,0.848191189
06037113422,14000US06037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",ca,140,00,ACSSF,0003972,06,037,113422,74262,6385,3635,318,26,1133,0,1044,229,3443,3055,2575,480,94,17,0,17,101,159,32,10861.58,0.587852144
06037115101,14000US06037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",ca,140,00,ACSSF,0003973,06,037,115101,138750,5060,3070,284,34,558,6,687,421,2400,2185,2055,130,35,0,0,0,56,124,30,3375.589,1.498997679
06037115103,14000US06037115103,Census Tract 1151.03,"Census Tract 1151.03, Los Angeles County, California",ca,140,00,ACSSF,0003974,06,037,115103,41818,3393,1533,468,4,621,26,481,260,1161,464,430,34,97,0,24,480,35,61,18,5786.583,0.586356385
06037115104,14000US06037115104,Census Tract 1151.04,"Census Tract 1151.04, Los Angeles County, California",ca,140,00,ACSSF,0003975,06,037,115104,51094,4752,2035,834,8,970,19,655,231,2583,1899,1799,100,141,9,87,240,50,157,28,12064.27,0.393890242
06037115201,14000US06037115201,Census Tract 1152.01,"Census Tract 1152.01, Los Angeles County, California",ca,140,00,ACSSF,0003976,06,037,115201,63768,6909,4353,319,15,992,0,893,337,3740,2868,2572,296,188,0,68,467,52,97,25,13092.38,0.527711711
06037115202,14000US06037115202,Census Tract 1152.02,"Census Tract 1152.02, Los Angeles County, California",ca,140,00,ACSSF,0003977,06,037,115202,61202,5328,2721,525,0,787,0,1022,273,3216,2755,2546,209,79,0,14,173,54,141,31,7942.064,0.670858321
